name,id,citation,h_index,i10_index,total_publication,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Hyun Min Kang,8e0jy0IAAAAJ,63874,76,133,200,2096,7507,7843,6378,6464,6142,6044,5366,4813,4256,3052,1803,1064,227,179,0,0
Jonathan Overpeck,msI9uioAAAAJ,61944,88,169,360,1139,4091,3943,3791,3448,3461,3530,3720,3761,3868,4106,3812,3496,3045,2452,1784,1391
Thomas J. Giordano,eLAM5ikAAAAJ,62024,109,247,407,2538,8746,8430,7197,5512,3405,2565,2440,2280,2373,2151,2303,2019,1949,1654,1334,1138
Patrick D. Schloss,xswWwaMAAAAJ,61572,72,106,144,1602,6285,6870,6723,6489,5993,5688,4950,4195,3324,2671,1931,1236,937,763,590,391
Eric Bell,MUWpNzcAAAAJ,61203,118,306,604,1636,4687,4245,3994,4558,4287,4076,4229,4070,3952,3504,3371,2933,2906,2588,2231,1440
Lloyd D. Johnston,wGVjaV4AAAAJ,60889,112,347,572,705,2760,2899,3051,3186,3121,2733,3181,3020,2905,2765,2532,2291,2137,2165,1874,1745
Terry E. Robinson,dwHDUDsAAAAJ,60371,109,237,298,749,2694,2845,2740,3266,2951,2686,3010,2658,2884,2816,2611,2444,2204,2091,2185,2232
Daniel J. Inman,icZPsdMAAAAJ,59902,102,550,1220,1786,5238,4825,3898,4357,4299,4056,3753,3510,3350,2982,2701,2448,1919,1689,1253,1266
Jerald Bachman,5HLoduMAAAAJ,58834,111,311,566,544,2297,2373,2594,2726,2779,2561,2855,2590,2429,2337,2067,1918,1873,1799,1712,1588
Randy Seeley,m3fmrjYAAAAJ,58849,114,356,647,892,3425,3666,3107,3064,3013,3053,3302,3130,3078,2942,2610,2625,2206,1903,1972,1879
Laura J Scott,0GvpFGgAAAAJ,58122,83,142,186,1615,5348,5399,4473,4286,4326,4000,3708,3688,3694,3519,3375,3008,2400,1688,1103,629
Kang G. Shin,vY7MdLYAAAAJ,57410,115,667,1174,558,2150,2179,2208,2339,2251,2406,2305,2539,2692,2578,2560,2435,2287,2144,2120,2257
Henry M Wellman,dPiinPkAAAAJ,56780,101,194,274,633,2609,2966,3103,2597,2898,2724,2743,2427,2873,2678,2274,1894,1857,1846,1807,1355
Eva L. Feldman,NAahXHcAAAAJ,56622,118,439,1058,1728,5219,4758,4389,3826,3484,3148,3127,3030,3043,2705,2410,1872,1694,1433,1309,1201
Ctirad Uher,XM-kZQwAAAAJ,54588,111,443,785,1774,5217,5397,5165,5172,4780,4321,3938,2890,2370,1802,1559,1221,1128,866,617,653
hom-lay Wang,lo3ms0UAAAAJ,54618,123,586,1000,2280,7089,6879,5255,4317,3661,3388,3166,3026,2552,2103,1910,1562,1240,1010,945,701
Ronald Larson,atJIzi0AAAAJ,53747,98,380,673,911,2704,2986,2807,2815,2777,2582,2638,2632,2371,2438,2306,2202,2142,1977,1824,1691
Honglak Lee,fmSHtE8AAAAJ,53508,85,133,154,2194,8651,8309,7316,6560,5318,3905,3089,2299,1668,1307,844,614,417,234,0,0
Dan Clauw,VEU-OKEAAAAJ,52196,111,389,985,1507,5436,5231,4380,3913,3603,3406,3504,2979,2432,2514,1953,2088,1483,1544,1098,931
John Schulenberg,qVaiY_4AAAAJ,51797,105,299,457,977,3543,3606,3444,3685,3530,3016,3258,2857,2578,2341,2137,1966,1818,1752,1663,1368
Marc Zimmerman,B9HaG4kAAAAJ,51448,97,310,549,988,4201,4167,4014,3615,3391,3291,3138,2882,2624,2244,2076,1675,1438,1420,1173,1016
Roger Albin,EOCvSkcAAAAJ,51209,94,265,567,1034,3924,4203,3591,3341,3200,3122,2882,2651,2371,1981,1640,1433,1309,1086,1134,1106
Arnold Sameroff,kcKL3fEAAAAJ,50985,99,189,302,473,2004,2151,2170,2275,2316,2425,2497,2428,2379,2440,2096,1851,1746,1726,1566,1408
Peter X Ma,W2HdR7wAAAAJ,50302,115,278,428,1766,5797,5556,5223,4204,3276,2843,2471,2480,2360,2263,2026,1847,1505,1222,1132,862
elizabeth speliotes,g1cnODoAAAAJ,49679,58,85,191,1239,4847,5597,6140,6757,5848,3859,2882,2511,2047,1839,1610,1318,953,706,445,133
"John V. Moran, Ph.D.",BCnKhqMAAAAJ,49349,58,87,132,685,2342,2404,2396,2428,2446,2787,2630,2296,2163,2200,2180,2033,1815,1773,1843,2021
Nicholas W. Lukacs,nIZWf50AAAAJ,49128,108,349,705,777,2766,2951,2709,2553,2493,2544,2442,2298,2360,2295,2015,1930,1833,1725,1529,1434
Victor Li,t-0R7QsAAAAJ,49282,122,426,882,2140,5769,5215,4011,3970,3371,2614,2528,2558,1911,2063,1691,1448,1417,1204,915,870
Arun Agrawal,eiBDprgAAAAJ,49108,85,211,492,709,3143,3529,3436,3383,3579,3417,3468,3162,3324,2740,2547,2081,1827,1573,1306,1120
John Swales,Emoj_H0AAAAJ,49005,66,128,244,632,2680,3009,2928,3077,2765,2929,3208,2956,2786,2414,2538,2026,1781,1683,1422,1208
Yang Zhang,MtBs-kMAAAAJ,48763,81,209,242,1714,5729,6294,5316,4279,3743,3424,3370,3007,2426,2329,1790,1399,988,775,572,413
Roger D Cone,1r-v7GoAAAAJ,48018,89,180,305,517,1988,1925,1781,1806,1832,1951,1997,1848,2028,2120,2057,2125,1985,1893,1875,1985
Gilbert Omenn,DfcJpIIAAAAJ,47984,94,392,957,889,2667,2458,1971,1818,1958,1972,2325,2519,2173,1998,1918,2240,1689,1538,1458,1485
Kim Cameron,F8UUbq4AAAAJ,47923,79,166,200,481,2504,2452,2498,2442,2558,2675,2475,2617,2420,2308,2091,1970,1668,1479,1428,1216
Robert J. Fontana,ZDo5I8oAAAAJ,47057,97,312,732,1084,3351,3768,3576,3672,3593,3668,3687,2952,2593,2125,2009,1790,1656,1261,1298,1033
Ryan E. Mills,BzjA_8kAAAAJ,46662,50,71,97,1328,4858,5164,4430,4590,4294,4326,3801,3542,3251,2589,1907,1233,368,292,164,0
Fawwaz Ulaby,7btxQB0AAAAJ,46111,84,250,736,408,1590,1861,2028,1871,1741,1716,1819,1759,1783,1705,1748,1504,1548,1541,1345,1267
Patrick O'Malley,Xcvoa-gAAAAJ,45947,100,204,261,273,1287,1515,1734,2065,2288,2245,2765,2588,2535,2400,2240,2024,1927,1928,1679,1572
J David Allan,XlxrmysAAAAJ,45048,68,120,172,513,1956,2410,2227,2441,2539,2532,2696,2606,2422,2337,2214,2086,1958,1799,1469,1356
Thomas M. Schmidt,puOEoqoAAAAJ,44968,76,132,196,956,3556,3936,3656,3352,3024,3022,2659,2444,2061,1871,1364,1134,1018,927,923,925
John Varga,qMvkM_UAAAAJ,44970,101,318,692,1092,3703,3690,3491,3127,2951,3095,2849,2514,2090,2050,1833,1648,1380,1231,1055,958
HV Jagadish,SKVnHakAAAAJ,44465,101,324,590,423,1817,1908,1982,2094,2039,1878,1974,1939,1812,1838,1917,1858,2061,2021,1831,1994
John Z. Ayanian,8lEU9J0AAAAJ,44494,110,298,608,836,2963,3130,3055,2676,2797,2630,2624,2240,2109,1961,1910,1817,1660,1529,1490,1271
Gretchen Spreitzer,CUMVmQgAAAAJ,44438,65,100,192,908,3692,3632,3488,3278,2973,2905,2735,2430,2479,2265,2023,1778,1394,1233,1053,980
Lawrence M. Seiford,_ttu2g0AAAAJ,44326,61,89,181,541,2221,2398,2293,2417,2561,2489,2516,2596,2676,2320,2282,2069,1962,1755,1335,1315
Dave Ulrich,jTa6a6QAAAAJ,44268,88,263,690,434,1875,2231,2344,2386,2477,2439,2573,2476,2311,2428,2239,1978,1856,1778,1678,1361
August Evrard,6gjnq58AAAAJ,44144,99,287,483,1409,4448,3818,3349,3489,3017,2234,2160,1490,1490,1574,1597,1349,1246,1202,1190,892
Gerald Davis,UJ4yRzYAAAAJ,43780,56,101,190,556,2192,2240,2243,2385,2443,2478,2379,2325,2004,2144,2089,1948,1862,1590,1631,1320
Mick P. Couper,b3dORLsAAAAJ,43653,88,247,425,679,2978,2972,2998,3022,2935,2848,2646,2723,2693,2518,2248,1961,1860,1561,1365,1225
Randolph M Nesse,FJDGzosAAAAJ,43594,89,192,359,714,3014,3217,2765,2584,2480,2159,2246,2157,2097,1988,1825,1876,1465,1414,1393,1076
Sanjay Saint,EkRcWXgAAAAJ,42995,99,309,668,719,2719,2905,3101,2983,2749,2831,2954,2863,2872,2459,2120,1860,1489,1264,1130,1073
James D. Wells,WTpeMcMAAAAJ,42794,69,187,397,298,1170,1084,1053,1243,1372,1274,1341,1300,1422,2285,4565,4066,1380,1509,2734,2255
