name,id,citation,h_index,i10_index,total_publication,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Maani Ghaffari,l2jdSb8AAAAJ,1087,19,27,80,84,328,206,147,97,77,35,32,18,14,23,14,5,0,0,0,0
Vasileios Tzoumas,vzOOFNwAAAAJ,1089,19,20,30,86,211,206,192,111,128,63,42,26,9,0,0,0,0,0,0,0
